location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Intercom,Indoor Games,ATM,Maintenance Staff,Staff Quarter,Multipurpose Room,Car Parking,Hospital,School,Shopping Mall,Vaastu Compliant,Cafeteria,Rain Water Harvesting,Golf Course
Dhakoli,1300,2850000,INR,,0,0,This spacious 2 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a built-up area of 1300 sqft and is priced at Rs. 28.50 lac . It is a semi-furnished property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1400,3600000,INR,,0,0,"It’s a 3 bhk builder floor situated in Dhakoli. It has a salable area of 1400 sqft and is available at a price of Rs. 2,571 per sqft. The house is semi-furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1350,3690000,INR,,0,0,It has an area of 1350 sqft with a carpet area of 1200 sqft . The property is available at a price of Rs. 36.90 lac . It is a semi-furnished property. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ,1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1200,10000000,INR,,0,0,"It has a salable area of 1200 sqft and is available at a price of Rs. 8,333 per sqft. The house is furnished. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,1008,3090000,INR,,1,0,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Sunny Enclave. It has a built-up area of 1008 sqft and is priced at Rs. 30.90 lac . Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1500,3200000,INR,,0,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a salable area of 1500 sqft and is available at a price of Rs. 2,133 per sqft. The house is semi-furnished. It is a ready-to-move-in property. Kindly call us for details. ",1,east,0,0,0,0,0,1,0,0,0,1,0,0,,,,1,,,,,,,,,,,,,
New chandigarh mohali,1596,9500000,INR,,0,0,It is a semi-furnished property. It is east facing property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ,1,east,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
Dhakoli,1611,6390000,INR,1,1,0,"It’s a 3 bhk builder floor situated in Dhakoli. It has a salable area of 1611 sqft and is available at a price of Rs. 3,966 per sqft. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,1800,13000000,INR,1,0,0,"Well designed 3 bhk builder floor is available at a prime location in Sector 79. It has an area of 1800 sqft . The property is available at a price of Rs. 1.30 cr . The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ",1,southwest,1,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 80,2000,17000000,INR,,0,0,"A 3 bhk property is available for sale in Sector 80, Chandigarh. It has a built-up area of 2000 sqft and is priced at Rs. 1.70 cr . It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ",1,east,0,6,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 64,2450,14500000,INR,,1,0,"A 3 bhk property is available for sale in Sector 64, Chandigarh. It has a salable area of 2450 sqft and is available at a price of Rs. 5,918 per sqft. Its main door is facing southeast direction. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,southeast,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1350,3990000,INR,,1,0,"A 3 bhk property is available for sale in Dhakoli, Chandigarh. It has a built-up area of 1350 sqft and is priced at Rs. 39.90 lac . It is a semi-furnished property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1655,7000000,INR,,1,0,"A spacious 3 bhk builder floor is available for sale in Dhakoli, Chandigarh. It is a semi-furnished property. It is northeast facing property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,northeast,0,0,1,1,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1349,4000000,INR,1,1,0,"Check out this 3 BHK Independent Floor for sale in Dhakoli, Zirakpur. This 3 BHK Independent Floor is perfect for a modern-day lifestyle. Dhakoli is a promising location in Zirakpur and this is one of the finest properties in the area. Buy this Independent Floor for sale now. It is located on floor 1. The total number of floors in this project is 3. This property is a modern-day abode, with 1349 Square feet built-up area. The unit has 3 bedrooms and 3 bathroom. Educational institutions are closeby with schools such as National Open School Govt Of India Regl Centre and Little Flower Convent Schools nearby. Healthcare centres such as Kaushal Gynae and Medical Centre, Sigma Medical Aids, and Surya Medicare Limited are also easily accessible",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,900,2400000,INR,,1,0,This spacious 2 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a built-up area of 900 sqft and is priced at Rs. 24.00 lac . The house is unfurnished. It is facing southwest direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ,1,southwest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 22,1125,15000000,INR,,0,0,"Well designed 2 bhk builder floor is available at a prime location in Sector 22. It has a built-up area of 1125 sqft and is priced at Rs. 1.50 cr . It is a semi-furnished property. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 80,1300,7200000,INR,,0,0,It’s a 2 bhk builder floor situated in Sector 80. The house is semi-furnished. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ,1,east,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Preet Colony,855,2790000,INR,,1,0,"Well designed 2 bhk builder floor is available at a prime location in Preet Colony. It has a salable area of 855 sqft and is available at a price of Rs. 3,263 per sqft. The house is semi-furnished. Its main door is facing southwest direction. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,southwest,0,6,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1778,10600000,INR,0,1,0,"The house is semi-furnished. It has club house as well as power backup. The project also has swimming pool, lift available and gymnasium. It is facing west direction. This residential complex is under-construction as of now. . The society is well connected by different modes of transportation. ",1,west,0,0,1,1,0,1,1,1,1,1,0,0,,,,1,,,,,,,,,,,,,
Sunny Enclave,1350,3490000,INR,,1,0,Well designed 3 bhk builder floor is available at a prime location in Sunny Enclave. It has an area of 1350 sqft with a carpet area of 1250 sqft . The property is available at a price of Rs. 34.90 lac . Its main door is facing northeast direction. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ,1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 71,1350,5500000,INR,,0,0,It has a built-up area of 1350 sqft and is priced at Rs. 55.00 lac . The house is unfurnished. It is north facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. ,1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
