location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,24 X 7 Security,Full Power Backup,Jogging Track,Landscaped Gardens,Gymnasium,Lift(s),Intercom,Sports Facility,Swimming Pool,Club House,Children's play area,locality_score,project_score,builder_experience,Car Parking,Shopping Mall,Indoor Games,Maintenance Staff,Multipurpose Room,Rain Water Harvesting,Cafeteria,Vaastu Compliant,ATM,Golf Course,Staff Quarter,Hospital,School
Yadagirigutta,2100,7500000,INR,0,0,0,"It has an area of 2100 sqft . The property is available at a price of Rs. 75.00 lac . The house is unfurnished. It is east facing property. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,1,1,1.0,1,1,1,1,,,,,,,,,,,,,,,,
Sector 77,4000,57500000,INR,,0,0,"This spacious 5 bhk villa is available for sale and is located in the heart of Sector 77. It has a salable area of 4000 sqft and is available at a price of Rs. 14,375 per sqft. It is a semi-furnished property. Its main door is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,0,0,0,0,0,1,0,,1,0,0,1,,,,,,,,,,,,,,,,
Sector 34,3150,70000000,INR,,0,0,"A 3 bhk property is available for sale in Sector 34, Chandigarh. It has a built-up area of 3150 sqft and is priced at Rs. 7.00 cr . The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,2000,7990000,INR,,1,0,It has a built-up area of 2000 sqft and is priced at Rs. 79.90 lac . It is a semi-furnished property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1800,12500000,INR,1,1,0,It has an area of 1800 sqft . The property is available at a price of Rs. 1.25 cr . The house is semi-furnished. It is west facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ,1,west,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Sunny Enclave,945,4790000,INR,,1,0,"A 3 bhk property is available for sale in Sunny Enclave, Chandigarh. It is a semi-furnished property. It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,2160,6500000,INR,,1,0,"A spacious 3 bhk villa is available for sale in Sunny Enclave, Chandigarh. It has a salable area of 2160 sqft and is available at a price of Rs. 3,009 per sqft. The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Mohali Village,936,4989000,INR,1,1,0,"It’s a 3 bhk villa situated in Mohali Village, Chandigarh. It has a built-up area of 936 sqft and is priced at Rs. 49.89 lac . It is a semi-furnished property. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,5,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1800,7800000,INR,,1,0,"A spacious 3 bhk villa is available for sale in Sunny Enclave, Chandigarh. It has a built-up area of 1800 sqft and is priced at Rs. 78.00 lac . This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Dhakoli,1200,5500000,INR,,1,0,"A 2 bhk property is available for sale in Dhakoli, Chandigarh. It has an area of 1200 sqft with a carpet area of 1050 sqft . The property is available at a price of Rs. 55.00 lac . It is an unfurnished property. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sector 37,3000,45000000,INR,,0,0,"A 5 bhk property is available for sale in Sector 37, Chandigarh. It has an area of 3000 sqft with a carpet area of 2500 sqft . The property is available at a price of Rs. 4.50 cr . The house is unfurnished. Its main door is facing east direction. It is situated in the proximity of all the important facilities.",1,east,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Sector 79,4500,80000000,INR,,1,0,"Well designed 6 bhk villa is available at a prime location in Sector 79. It is a semi-furnished property. It is facing northeast direction. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,6,0,0,0,0,1,0,,1,0,0,1,,,,,,,,,,,,,,,,
Sector 33,4500,95000000,INR,,0,0,This spacious 3 bhk villa is available for sale and is located in the heart of Sector 33. It has an area of 4500 sqft with a carpet area of 2250 sqft . The property is available at a price of Rs. 9.50 cr . It is an unfurnished property. It is facing south direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ,1,south,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Dhakoli,4500,18500000,INR,,0,0,This spacious 4 bhk villa is available for sale and is located in the heart of Dhakoli. It has an area of 4500 sqft with a carpet area of 4000 sqft . The property is available at a price of Rs. 1.85 cr . It is a semi-furnished property. It is made in way to provide a comfortable living. It is well connected to the city areas. ,1,northeast,0,0,0,1,0,0,1,1,1.0,1,1,1,1,,,,,,,,,,,,,,,,
New chandigarh mohali,2700,35000000,INR,,0,0,It’s a 4 bhk villa situated in New chandigarh mohali. It has a built-up area of 2700 sqft and is priced at Rs. 3.50 cr . This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. ,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sector 80,2250,7190000,INR,,1,0,"A spacious 4 bhk villa is available for sale in Sector 80, Chandigarh. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",1,northeast,0,6,0,0,0,0,0,0,,1,0,0,1,,,,,,,,,,,,,,,,
Sunny Enclave,2160,7500000,INR,,1,0,It has an area of 2160 sqft with a carpet area of 2160 sqft . The property is available at a price of Rs. 75.00 lac . It is a semi-furnished property. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Contact us for more details. ,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Yadagirigutta,1900,6500000,INR,,1,0,This spacious 3 bhk villa is available for sale and is located in the heart of Yadagirigutta. The house is unfurnished. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1800,7800000,INR,,1,0,"This spacious 3 bhk villa is available for sale and is located in the heart of Sunny Enclave. It has an area of 1800 sqft with a carpet area of 1200 sqft . The property is available at a price of Rs. 78.00 lac . It is facing north direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,north,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1020,5000000,INR,,1,0,"It has a built-up area of 1020 sqft and is priced at Rs. 50.00 lac . It is a semi-furnished property. It is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1647,12890000,INR,1,1,0,"A spacious 4 bhk villa is available for sale in Sunny Enclave, Chandigarh. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,0,0,1,1,,,,,,,,,,,,,,,,
Sunny Enclave,1344,4990022,INR,,1,0,This spacious 3 bhk villa is available for sale and is located in the heart of Sunny Enclave. It has an area of 1344 sqft with a carpet area of 1244 sqft . The property is available at a price of Rs. 49.90 lac . The house is semi-furnished. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ,1,east,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Sector 69,4500,75000000,INR,,1,0,"A spacious 6 bhk villa is available for sale in Sector 69, Chandigarh. The house is semi-furnished. Its main door is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,1.0,1,0,0,1,,,,,,,,,,,,,,,,
Sector 34,2250,45000000,INR,,0,0,"It has a built-up area of 2250 sqft and is priced at Rs. 4.50 cr . It is an unfurnished property. It is facing south direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,south,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Sector 80,1575,7250000,INR,,1,0,"A 4 bhk property is available for sale in Sector 80, Chandigarh. The house is semi-furnished. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",1,northeast,0,6,0,0,0,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,
