location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Gymnasium,Children's play area,Club House,Lift(s),Swimming Pool,Landscaped Gardens,Rain Water Harvesting,Maintenance Staff,Jogging Track,Sports Facility,Car Parking,24 X 7 Security,Full Power Backup,locality_score,project_score,builder_experience,Indoor Games,ATM,Intercom,School,Shopping Mall,Multipurpose Room,Vaastu Compliant,Cafeteria,Staff Quarter,Hospital,Golf Course
Raj Nagar Extension,1500,3000000,INR,1,0,0,"A plot property is available for sale in VVIP Villas, Raj Nagar Extension, Ghaziabad. It has an area of 1500 sqft. The property is available at a price of Rs. 30.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1,1.0,1,1,,,123.0,,,,,,,,,,,
Lal Kuan,450,900000,INR,1,0,0,"This plot is available for sale and is located in the heart of Lal Kuan. It has a salable area of 450 sqft and is available at a price of Rs. 2,000 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
wave city,450,700000,INR,1,0,0,"450 Square feet Plot for sale in Wave City, Ghaziabad. This land has a dimension of 15.0 mt length 30.0 mt width. Price. The width of the facing road is 55.0 mt. The most popular landmarks near this plot are Vidya Jyoti Public School, Junior High School, govt., and Modern Height Modern Railway City",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Morti,900,1000000,INR,1,0,0,"A plot property is available for sale in Morti, Ghaziabad. It has a salable area of 900 sqft and is available at a price of Rs. 1,111 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,5,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Masuri,900,1400000,INR,0,0,0,"This plot is situated in Vardah Builders Jindal Enclave Phase 1 and Phase 2, Masuri, Ghaziabad. It has a salable area of 900 sqft and is available at a price of Rs. 1,555 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,6.3,7.0,123.0,,,,,,,,,,,
Chipiyana Buzurg,446,1150000,INR,1,0,0,"This plot is available for sale and is located in the heart of Chipiyana Buzurg. It has an area of 446 sqft and is priced at Rs. 11.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,648,1584000,INR,1,0,0,"A plot is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 648 sqft. The property is available at a price of Rs. 15.84 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,450,650000,INR,1,0,0,"This plot is available for sale and is located in the heart of Dasna. It has a salable area of 450 sqft and is available at a price of Rs. 1,444 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,northeast,0,0,1,0,0,0,1,0,,,0,0,,0,0,7.2,,,,,,,,,,,,,
Elaichipur,900,1100000,INR,1,0,0,"A plot property is available for sale in Elaichipur, Ghaziabad. It has a salable area of 900 sqft and is available at a price of Rs. 1,222 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,1,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,900,6500000,INR,1,1,0,"It has an area of 900 sqft and is priced at Rs. 65.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,3,1,0,0,0,1,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
