location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),24 X 7 Security,Children's play area,Club House,Full Power Backup,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Gymnasium,School,locality_score,project_score,builder_experience,Intercom,Rain Water Harvesting,Car Parking,Vaastu Compliant,Indoor Games,Multipurpose Room,Staff Quarter,Golf Course,Cafeteria,Maintenance Staff,ATM,Shopping Mall,Hospital
Chhapraula,720,2599920,INR,1,1,0,"Well designed 3 bhk villa is available at a prime location in Prithvi Associates Noida Greens. It has a built-up area of 720 sqft and is priced at Rs. 26.00 lac . It is an unfurnished property. It has temple. Other amenities include internal roads, school, gated community, storm water drains and electrification(transformer, solar energy etc). This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,,,,
Raj Nagar Extension,2500,15000000,INR,,1,0,"It’s a 4 bhk villa situated in Raj Nagar Extension, Ghaziabad. It has a built-up area of 2500 sqft and is priced at Rs. 1.50 cr . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chipiyana Buzurg,850,4000000,INR,1,1,0,"It’s a 2 bhk villa situated in Chipiyana Buzurg. It has a salable area of 850 sqft and is available at a price of Rs. 4,705 per sqft. It is a semi-furnished property. Its main door is facing east direction. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lal Kuan,936,3329000,INR,,1,0,"A 2 bhk property is available for sale in Property Vision Promotors And Developers Mansarovar Park Lalkua, Lal Kuan, Ghaziabad. It has an area of 936 sqft with a carpet area of 860 sqft . The property is available at a price of Rs. 33.29 lac . The house is semi-furnished. It is facing east direction. It is a 4 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,4,0,0,0,0,0,0,0,0,0,0,,7.4,,123.0,,,,,,,,,,,,,
Govindpuram,1000,3000011,INR,,1,0,"Well designed 2 bhk villa is available at a prime location in Govindpuram. It has an area of 1000 sqft with a carpet area of 450 sqft . The property is available at a price of Rs. 30.00 lac . The house is semi-furnished. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Govindpuram,3100,10400000,INR,,0,0,"This spacious 7 bhk villa is available for sale and is located in the heart of Govindpuram. It has an area of 3100 sqft with a carpet area of 3000 sqft . The property is available at a price of Rs. 1.04 cr . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Vasundhara,2500,21500000,INR,,0,0,"It’s a 6 bhk villa situated in Vasundhara. It has a built-up area of 2500 sqft and is priced at Rs. 2.15 cr . It is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,northeast,0,0,0,0,0,0,1,0,0,0,0,0,,,,,1.0,,,,,,,,,,,,
Raj Nagar Extension,1570,13188000,INR,,1,0,"A spacious 4 bhk villa is available for sale in Raj Nagar Extension, Ghaziabad. It has a built-up area of 1570 sqft and is priced at Rs. 1.32 cr . The house is semi-furnished. It is northeast facing property. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,1,1,1,0,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Lal Kuan,720,2100000,INR,1,0,0,"This spacious 2 bhk villa is available for sale and is located in Aarvanss Infrastructure Mansarovar Park, one of the most prestigious projects of Lal Kuan. It has a salable area of 720 sqft and is available at a price of Rs. 2,916 per sqft. It is a semi-furnished property. It has gymnasium. Other amenities include children's play area and power backup. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,4,0,1,1,1,1,0,1,0,0,1,,7.4,7.8,123.0,1.0,,,,,,,,,,,,
Lal Kuan,850,3949000,INR,,1,0,"This spacious 2 bhk villa is available for sale and is located in Vridhi Homes Homes, one of the most prestigious projects of Lal Kuan. It has 1 tv, 1 refrigerator, 1 sofa and 1 sofa. It also has 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is northeast facing property. It is an under-construction property . The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,0,0,1,1,1,1,1,1,1,0,0,1,,7.4,,,1.0,1.0,1.0,1.0,,,,,,,,,
Chhapraula,891,4950000,INR,,1,0,"Well designed 3 bhk villa is available at a prime location in Prithvi Associates Noida Greens. It has a built-up area of 891 sqft and is priced at Rs. 49.50 lac . It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,1,0,0,0,0,0,1.0,,,,,,,,,,,,,,,,
Raj Nagar Extension,4900,30000000,INR,,0,0,"It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has community hall. Other amenities include gated community, full power backup, intercom, swimming pool, children's play area, club house, gymnasium, lift(s) and cctv. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. ",1,northeast,1,3,1,1,1,1,1,1,1,1,0,1,,,8.4,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
Lal Kuan,2650,10003750,INR,0,1,0,"It’s a 3 bhk villa situated in Shivansh Homes Smart Villa, Lal Kuan. It has an area of 2650 sqft . The property is available at a price of Rs. 1.00 cr . The house is unfurnished. It has landscape garden and tree planting. Other amenities include full power backup, car parking, 24x7 water supply and fire sprinklers. It is an under-construction property and is expected to get completed by 31/12/2021. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,1,0,0,0,0,0,,7.4,,,,,1.0,,,,,,,,,,
Raj Nagar Extension,2979,18700000,INR,0,1,0,"A 4 bhk property is available for sale in Sangwan Group Heights, Raj Nagar Extension, Ghaziabad. It has a built-up area of 2979 sqft and is priced at Rs. 1.87 cr . It has power backup. Other amenities include children's play area, gated community, gymnasium, intercom, club house, community hall and swimming pool. Its main door is facing northeast direction. It is an under-construction property . It is made in way to provide a comfortable living for the residents. ",1,northeast,0,0,1,1,1,1,1,1,1,1,1,1,,,7.7,2022.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,
Lal Kuan,2210,14000000,INR,,0,0,"This spacious 3 bhk villa is available for sale and is located in Land Craft Developers Golf Link Villas, one of the most prestigious projects of Lal Kuan. It has a salable area of 2210 sqft and is available at a price of Rs. 6,334 per sqft. The house is unfurnished. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,0,7,0,1,1,1,1,1,0,1,0,1,,7.4,8.3,16.0,,1.0,1.0,,1.0,,,1.0,,,,,
duhai,610,2795250,INR,1,1,0,It has a built-up area of 610 sqft and is priced at Rs. 27.95 lac . The house is semi-furnished. It is northeast facing property. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Kindly call us for details. ,1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lal Kuan,612,4500000,INR,1,1,0,It has a built-up area of 612 sqft and is priced at Rs. 45.00 lac . It has fire sprinklers as well as earthquake resistant structure. The project also has 24 hours water supply and power backup. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ,1,,0,2,0,0,0,0,1,0,0,0,0,0,,7.4,,,,,,,,,,,,,,,
Niti Khand,1205,18500000,INR,1,1,0,"A 3 bhk property is available for sale in Niti Khand, Ghaziabad. It is a semi-furnished property. It is facing east direction. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,1,0,0,0,0,0,,9.3,,,1.0,,,,,,,,,,,,
Raj Nagar Extension,2875,18000106,INR,0,1,0,"4 BHK Villa for sale in Ghukna, Ghaziabad - contact now, for details about the most coveted property. This 4 BHK unit is available in Ghukna and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Ghukna. The built-up area is 2875 Square feet. There are 4 bedrooms and 4 bathroom. This property is at a walking distance from Vardan Netra Chikitsalaya, Lifecell Multi Speciality Centre, and Geetanjali Dental Clinic. The city's best schools such as The American School, Ghaziabad, Makoons Pre-School, and Nav Gyan Jyoti Public School are near your residential property",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chipiyana Buzurg,2100,6400000,INR,1,1,0,Well designed 3 bhk villa is available at a prime location in Trust Bricks Reality Green Villa 2. It has a built-up area of 2100 sqft and is priced at Rs. 64.00 lac . The house is semi-furnished. Its main door is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Kindly call us for details. ,1,east,0,0,0,1,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Dasna,1693,14200000,INR,1,1,0,"5 BHK Villa for sale in Wave City, Ghaziabad with modern-day amenities. The Villa is in Wave City which is a promising investment destination in Ghaziabad. This might be your chance to grab the best 5 BHK property for sale in Wave City. This 5 BHK Villa is available at a reasonable price of Rs 1.42 Cr. The built-up area is 1693 Square feet. This property has provision for 4 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Columbia Asia Hospital - Ghaziabad, Ayurvedic treatment for Piles, Fissure, Fistula in Ghaziabad, India, and Komal Sharma Hospital. The city's best schools like ST XAVIERS HIGH SCHOOL, Primary School, Mehrauli Village, Ghaziabad, and Prathmik IVidhyalaya are also near this housing project",1,,0,2,0,0,0,0,0,0,0,0,0,0,,7.2,,2022.0,,,,,,,,,,,,,
Chhapraula,650,2851000,INR,,1,0,"Well designed 3 bhk villa is available at a prime location in Chhapraula. It has a built-up area of 650 sqft and is priced at Rs. 28.51 lac . The house is semi-furnished. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,,,,
Raj Nagar,3078,12580000,INR,,1,0,This spacious 4 bhk villa is available for sale and is located in the heart of Raj Nagar. It has an area of 3078 sqft with a carpet area of 2800 sqft . The property is available at a price of Rs. 1.26 cr . The house is semi-furnished. Its main door is facing east direction. It is an under-construction property . It is made in way to provide a comfortable living. It is well connected to the city areas. ,1,east,0,0,1,0,1,1,1,1,1,0,0,1,,,,,1.0,,,,,,,,,,,,
Lal Kuan,1467,4600000,INR,1,1,0,"Well designed 3 bhk villa is available at a prime location in Lal Kuan. It has a built-up area of 1467 sqft and is priced at Rs. 46.00 lac . The house is semi-furnished. It is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,1,1,0,0,0,0,0,0,,7.4,,,,,,,,,,,,,,,
Govindpuram,1260,3800000,INR,,1,0,"It’s a 2 bhk villa situated in Govindpuram, Ghaziabad. It has an area of 1260 sqft with a carpet area of 1160 sqft . The property is available at a price of Rs. 38.00 lac . It is a furnished property. Its main door is facing south direction. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. ",1,south,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Ahinsa Khand 2,2170,10000000,INR,,0,0,"This spacious 4 bhk villa is available for sale and is located in Niho Hi Bird Scottish Garden, one of the most prestigious projects of Ahinsa Khand 2. It has a built-up area of 2170 sqft and is priced at Rs. 1.00 cr . The house is semi-furnished. It is facing east direction. It is a 11 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,12,1,1,1,1,1,1,1,0,0,1,,9.1,7.8,21.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,
Sector 15 Vasundhara,6000,40000000,INR,,1,0,"It’s a 8 bhk villa situated in Swaraj Homes Vasundhara Colony Welfare, Sector 15 Vasundhara. It has an area of 6000 sqft with a carpet area of 5500 sqft . The property is available at a price of Rs. 4.00 cr . The house is furnished. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,east,1,0,0,0,1,0,1,0,0,0,0,0,,,,2022.0,,,,,,,,,,,,,
