location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens,Sports Facility,Gymnasium,locality_score,project_score,builder_experience,Indoor Games,Rain Water Harvesting,Intercom,Maintenance Staff,Vaastu Compliant,Car Parking,Shopping Mall,Multipurpose Room,ATM,Staff Quarter,Hospital,School,Cafeteria
jankipuram vistar,1070,3350000,INR,,0,0,"It’s a 2 bhk builder floor situated in jankipuram vistar, Lucknow. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 sofa, 1 washing machine, 1 dining table and 1 bed. Its main door is facing east direction. It is well connected to the city areas. Kindly call us for details. ",1,east,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
Mohanlalganj,1014,4800000,INR,,0,0,"A spacious 2 bhk builder floor is available for sale in Omaxe Limited Metro City, Mohanlalganj, Lucknow. It is a furnished property. It is an under-construction property and is expected to get completed by 31/12/2024. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.3,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Sarojini Nagar,1890,4200000,INR,,1,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Sarojini Nagar. It has an area of 1890 sqft with a carpet area of 1530 sqft . The property is available at a price of Rs. 42.00 lac . The house is furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Mohibullapur,916,7628000,INR,0,1,0,"It has a built-up area of 916 sqft and is priced at Rs. 76.28 lac . It is a semi-furnished property. It is an under-construction property and is expected to get completed by 01/12/2024. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,15.0,,,1.0,,,1.0,1.0,1.0,,,,,
Hazratganj,1500,7200000,INR,,0,0,"It’s a 3 bhk builder floor situated in Hazratganj. It has a built-up area of 1500 sqft and is priced at Rs. 72.00 lac . The house is semi-furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,
Vrindavan Yojna,1100,4300000,INR,1,0,0,Well designed 2 bhk builder floor is available at a prime location in Vrindavan Yojna. It has an area of 1100 sqft . The property is available at a price of Rs. 43.00 lac . It is east facing property. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,east,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,,,,,,,,,,,,,,,
Mohanlalganj,686,1999690,INR,,1,0,"It is a semi-furnished property. This residential complex is under-construction as of now. The expected completion date is 01/11/2022. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details.",1,,0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.3,,,,,1.0,,,,,,,,,,
Mohanlalganj,1014,4800000,INR,,0,0,"It’s a 2 bhk builder floor situated in Omaxe Limited Metro City, Mohanlalganj, Lucknow. It has a salable area of 1014 sqft and is available at a price of Rs. 4,733 per sqft. The house is furnished. This residential complex is under-construction as of now. The expected completion date is 31/12/2024. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ",1,,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.3,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Mohanlalganj,1014,5100000,INR,,0,0,"This spacious 2 bhk builder floor is available for sale and is located in Omaxe Limited Metro City, one of the most prestigious projects of Mohanlalganj. It has an area of 1014 sqft with a carpet area of 807 sqft . The property is available at a price of Rs. 51.00 lac . It is a furnished property. This residential complex is under-construction as of now. The expected completion date is 31/12/2024. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details. ",1,,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.3,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Gomti Nagar,1600,6200000,INR,,1,0,,1,east,0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,4.0,123.0,,,,,,1.0,,,,,,,
Indira Nagar,1400,3600000,INR,,1,1,It has a built-up area of 1400 sqft and is priced at Rs. 36.00 lac (negotiable). It is a semi-furnished property. It is facing east direction. The property is available on freehold. The society is well connected by different modes of transportation. ,1,east,0,4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,
Jankipuram,1000,5300000,INR,,1,1,"A spacious 2 bhk builder floor is available for sale in Jankipuram, Lucknow. It has a built-up area of 1000 sqft and is priced at Rs. 53.00 lac (negotiable). The property has 2 bathrooms and 2 balconies. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,,,,,,,1.0,,,,,,,
