location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Swimming Pool,Sports Facility,Lift(s),Club House,Full Power Backup,Gymnasium,Rain Water Harvesting,Maintenance Staff,Jogging Track,Car Parking,Vaastu Compliant,Children's play area,24 X 7 Security,Landscaped Gardens,locality_score,project_score,builder_experience,School,ATM,Shopping Mall,Multipurpose Room,Intercom,Staff Quarter,Hospital,Indoor Games,Cafeteria,Golf Course
Alambagh,2000,1700000,INR,1,1,0,"A plot property is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has an area of 2000 sqft. The property is available at a price of Rs. 17.00 lac . The amenities include landscaped gardens, maintenance staff, cctv, sewage treatment plant, cycling & jogging track, landscape garden and tree planting, children's play area, jogging track, 24 x 7 security and car parking. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Uattardhona,900,2500000,INR,1,1,0,"A plot is available for sale in Shree Prithviraj Infratech Prabal Enclave, Uattardhona, Lucknow. It has an area of 900 sqft. The property is available at a price of Rs. 25.00 lac . The amenities include internal roads, park, 24 x 7 security and entrance lobby. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,1,0,7.3,,,,,,,,,,,,
Alambagh,1000,850000,INR,1,1,0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 850 per sqft. It has 24 x 7 security as well as gated community. The project also has maintenance staff, children's play area, cctv, 24x7 water supply, fire sprinklers, car parking, rain water harvesting and landscape garden and tree planting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Uattardhona,1000,1200000,INR,1,1,0,"A plot is available at a prime location in Shree Prithviraj Infratech Prabal Enclave. It has an area of 1000 sqft. The property is available at a price of Rs. 12.00 lac . The amenities include entrance lobby, 24 x 7 security, park and internal roads. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,1,0,7.3,,,,,,,,,,,,
Alambagh,5000,4250000,INR,1,1,0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has an area of 5000 sqft and is priced at Rs. 42.50 lac . The amenities include car parking, cctv, landscape garden and tree planting, landscaped gardens, cycling & jogging track, fire sprinklers, 24 x 7 security, 24x7 water supply, jogging track and sewage treatment plant. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Uattardhona,1500,1200000,INR,1,1,0,"A plot property is available for sale in Shree Prithviraj Infratech Prabal Enclave, Uattardhona, Lucknow. It has a salable area of 1500 sqft and is available at a price of Rs. 800 per sqft. It has entrance lobby as well as internal roads. The project also has park and 24 x 7 security. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,1,0,7.3,,,,,,,,,,,,
Golf City,1250,1748750,INR,1,0,0,"A plot is available for sale in Golf City, Lucknow. It has an area of 1250 sqft. The property is available at a price of Rs. 17.49 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Gosainganj,1000,999000,INR,1,0,0,"plots available in gosainganj near purwanchal busadda lucknow More About This Property 1000 Square feet Plot for sale in Gosainganj, Lucknow. This land has a dimension of 20.0 mt length 50.0 mt width. Price. This is a corner plot. The plot is East facing. There are 2 open sides for this plot. The width of the facing road is 40.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Shimla Public School, Murlidhar Gupta General Store, and Pappu Sweet Shop",1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Banthra Sikander Pur,1000,700000,INR,1,0,0,"A plot is available for sale in Banthra Sikander Pur, Lucknow. It has an area of 1000 sqft and is priced at Rs. 7.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,3,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Vrindavan Yojna,1000,1750000,INR,1,0,0,"A plot property is available for sale in Vrindavan Yojna, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 1,750 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,8.1,,,,,,,,,,,,
