location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,locality_score,project_score,builder_experience,Gymnasium,24 X 7 Security,Swimming Pool,Lift(s),Jogging Track,Club House,Landscaped Gardens,Rain Water Harvesting,Sports Facility,Car Parking,Children's play area,Full Power Backup,Vaastu Compliant,Indoor Games,Intercom,Maintenance Staff,Shopping Mall,Cafeteria,ATM,Multipurpose Room,School,Hospital,Golf Course,Staff Quarter
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldeco II,800,4800000,INR,,0,0,"This spacious 2 bhk villa is available for sale and is located in Eldeco Group Saksham At Samridhi Udyan 2, one of the most prestigious projects of Eldeco II. It has an area of 900 sqft with a carpet area of 800 sqft . The property is available at a price of Rs. 48.00 lac . It is a semi-furnished property. It is facing northeast direction. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,0,0,8.7,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
Nilmatha,1500,7000000,INR,,0,0,This spacious 3 bhk villa is available for sale and is located in the heart of Nilmatha. It has a built-up area of 1500 sqft and is priced at Rs. 70.00 lac . It is a semi-furnished property. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,,0,4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Chinhat,1450,4500000,INR,,0,0,It has an area of 1450 sqft with a carpet area of 850 sqft . The property is available at a price of Rs. 45.00 lac . It is a semi-furnished property. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,,0,5,7.7,,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Lolai,1000,4300000,INR,,0,0,It has a built-up area of 1000 sqft and is priced at Rs. 43.00 lac . It is a semi-furnished property. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ,1,,0,4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
CHINHAT TIRAHA,1500,9000000,INR,1,0,0,"A spacious 2 bhk villa is available for sale in CHINHAT TIRAHA, Lucknow. It has a salable area of 1500 sqft and is available at a price of Rs. 6,000 per sqft. It is a semi-furnished property. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Nijampur Malhaur,1200,3800000,INR,,0,0,"A spacious 2 bhk villa is available for sale in Nijampur Malhaur, Lucknow. The house is furnished. It is a 4 year old ready-to-move-in property. It is well connected to the city areas. Kindly call us for details. ",1,,1,4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Sarai Shekh,1250,5200000,INR,,0,0,"It’s a 2 bhk villa situated in Sarai Shekh, Lucknow. It has a salable area of 1250 sqft and is available at a price of Rs. 4,160 per sqft. The house is furnished. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",1,,1,3,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Vrindavan Yojna,1640,5300000,INR,,0,0,Well designed 4 bhk villa is available at a prime location in Vrindavan Yojna. It has an area of 1640 sqft with a carpet area of 756 sqft . The property is available at a price of Rs. 53.00 lac . It is a semi-furnished property. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Please contact us for more details. ,1,,0,0,8.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
