location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Multipurpose Room,Intercom,Maintenance Staff,Car Parking,Rain Water Harvesting,Vaastu Compliant,Indoor Games,Golf Course,Cafeteria,ATM,Hospital,School,Shopping Mall,Staff Quarter
Moshi,1000,3500000,INR,1,0,0,"This plot is situated in Moshi. It has an area of 1000 sqft and is priced at Rs. 35.00 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,0,0,0,0,7.9,,,,,,,,,,,,,,,,
Lohegaon,6000,15600000,INR,1,0,0,"A plot is available at a prime location in Lohegaon. It has a salable area of 3000 sqft and is available at a price of Rs. 5,200 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Hinjawadi Village,11000,27500000,INR,1,0,0,"A plot is available at a prime location in Hinjawadi Village. It has an area of 11000 sqft. The property is available at a price of Rs. 2.75 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Shivaji Nagar,5500,120000000,INR,1,0,0,"A plot is available at a prime location in Shivaji Nagar. It has a salable area of 5500 sqft and is available at a price of Rs. 21,818 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,9.3,,,,,,,,,,,,,,,,
Hinjawadi Village,1076,2050000,INR,1,0,0,"This plot is situated in Hinjawadi Village, Pune. It has a salable area of 1076 sqft and is available at a price of Rs. 1,905 per sqft. Its entry is southeast facing. The society is well connected by different modes of transportation. Contact us for more details. ",1,southeast,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kune N.m.,7500,13900000,INR,1,0,0,"This plot is situated in Kune N.m., Pune. It has an area of 7500 sqft. The property is available at a price of Rs. 1.39 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,4,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
Ravet,2000,10000000,INR,1,0,0,"A plot is available at a prime location in Ravet. It has an area of 2000 sqft and is priced at Rs. 1.00 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Yewalewadi,1076,421000,INR,1,0,0,"A plot property is available for sale in Yewalewadi, Pune. It has an area of 1076 sqft and is priced at Rs. 4.21 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Hinjewadi,10760,4000000,INR,1,0,0,"A plot is available at a prime location in Hinjewadi. It has a salable area of 10760 sqft and is available at a price of Rs. 371 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Jambhul,5300,11200000,INR,1,0,0,"This plot is available for sale and is located in BU Bhandari Belleza, one of the most prestigious projects of Jambhul. It has a salable area of 5300 sqft and is available at a price of Rs. 2,113 per sqft. It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,west,0,8,0,0,1,1,0,0,0,0,1,0,6.7,7.5,103.0,,,,,,,,,,,,,,
